word_id;preferred_EN;variant1;variant2;variant3;variant4;variant5;variant6;variant7
1;Anatolia;anatolia;anatolie;anatolien;;;;
2;Assyria;assyria;assyrie;assyrien;;;;
3;Babylonia;babylonia;babylonie;babylonien;;;;
4;Byblos;;;;;;;
5;Crocodilopolis;;;;;;;
6;Greek-Roman;graeco-roman;greco-roman;;;;;
7;Herodote;herodotos;;;;;;
8;Horapollo;horapollon;;;;;;
9;Isis-aphrodite;;;;;;;
10;Manetho;manethon;manethos;;;;;
11;Maya;;;;;;;
12;Nefertiti;nefertete;nofretete;;;;;
13;Oxyrhynchus;oxyrhynchos;behnasa;el-Bahnasa;bahnasa;;;
14;pharaoh;pharao;;;;;;
15;Plutarchus;plutarchos;;;;;;
16;Punt;;;;;;;
17;Rosetta;Rosette;el rashid;el-rashid;al-rashid;;;
18;Saqqara;saqqarah;saqqareh;sakkarah;;;;
19;Serapeum;serapaeum;serapeion;;;;;
20;Sinuhe;sinouhe;;;;;;
21;Taffeh;taffah;taffa;tafa;taphis;;;
22;Thebes;;;;;;;
23;Teye;tiy;tiye;;;;;
24;Wenamun;wen-amon;wenamoen;;;;;
25;ba statue;;;;;;;
26;ka statue;;;;;;;
27;Benu bird;benu-vogel;bennu-vogel;benuvogel;;;;
28;djed pillar;djed-zuil;djed-pillar;;;;;
29;atef-crown;atef-kroon;atef crown;atef-kroon;;;;
30;kherep-sceptre;;;;;;;
31;heqa-sceptrecrook;;;;;;;
32;nekhakha-sceptre;flagellum;;;;;;
33;wadj-sceptre;;;;;;;
34;was-sceptre;;;;;;;
35;Sesostris I;Senoeseret I;Senwoseret I;;;;;
36;Sesostris II;Senoeseret II;Senwoseret II;;;;;
37;Sesostris III;Senoeseret III;Senwoseret III;;;;;
38;Sesostris IV;Senoeseret IV;Senwoseret IV;;;;;
39;funerary cone;;;;;;;
40;false door;;;;;;;
41;stela;stela;stele;stelae;steles;;;
42;torus moulding;;;;;;;
43;foundation deposit;;;;;;;
44;figured ostracon;;;;;;;
45;mummy label;;;;;;;
46;mummy grid;;;;;;;
47;mummy cover;;;;;;;
48;canopic box;;;;;;;
49;canopic chest;;;;;;;
50;canopic shrine;;;;;;;
51;canopic jar;canopic;canopics;canopic-jar;kanope;kanopen;kanopenkrug;kanopenkruge
52;canopic chest;;;;;;;
53;shabti coffin;;;;;;;
54;coffin;;;;;;;
55;mummy trappings;;;;;;;
56;shabti;ushabti;shawabti;oushabti;shaouabti;shabti;oesjabti;oesjebti
57;shabti basket;;;;;;;
58;shabti hoe;;;;;;;
59;shabti pick;;;;;;;
60;shabti shroud;;;;;;;
61;shabti yoke;;;;;;;
62;shabti box;;;;;;;
63;shabti jar;;;;;;;
64;osiris bed;;;;;;;
65;ankh-amulet;;;;;;;
66;udjat-amulet;;;;;;;
67;wesekh-collar;;;;;;;
68;coptic textile;;;;;;;
69;pylon;;;;;;;
70;papyrus boat;;;;;;;
71;solar boat;;;;;;;
72;offering bearer;;;;;;;
73;bird mummy;;;;;;;
74;ibis mummy;;;;;;;
75;falcon mummy;;;;;;;
76;monkey mummy;;;;;;;
77;dog mummy;;;;;;;
78;ichneumon mummy;;;;;;;
79;cat mummy;;;;;;;
80;cow mummy;;;;;;;
81;ram mummy;;;;;;;
82;bull mummy;;;;;;;
83;hes-vase;;;;;;;
84;divine standard;;;;;;;
85;peseshkaf;;;;;;;
86;opening of the mouth instrument;;;;;;;
87;counterpoise of menat;;;;;;;
88;offering stand;;;;;;;
89;offering table;;;;;;;
90;shebet;;;;;;;
91;sculpture in the round;;;;;;;
92;reserve head;;;;;;;
93;scarab;;;;;;;
94;commemorative scarab;;;;;;;
95;winged scarab;;;;;;;
96;heart scarab;;;;;;;
97;scarab seal;;;;;;;
98;scarab;;;;;;;
99;cylinder seal;;;;;;;
100;button seal;;;;;;;
101;ring seal;;;;;;;
102;kohl pot;;;;;;;
103;kohl stick;;;;;;;
104;kohl tube;;;;;;;
105;fly-whisk;;;;;;;
106;senet-game;;;;;;;
107;mehen;;;;;;;
108;twenty square board;;;;;;;
109;throw-stick;;;;;;;
110;amulet mould;;;;;;;
111;figurine mould;;;;;;;
112;jewellery mould;;;;;;;
113;shabti mould;;;;;;;
114;tool mould;;;;;;;
115;Predynastic Period;;;;;;;
116;Early dynastic Period;Thinitische Periode;Thinitic Period;;;;;
117;Hotepsekhemui;hetepsekhemwy;hetepsechemwy;hetepsekhemui;hetepsekhemuy;hetepsekhmui;hetepsekhemoui;
118;Khasekhemui;;;;;;;
119;Old Kingdom;;;;;;;
120;Seneferu;;;;;;;
121;Mycerinus;;;;;;;
122;Shepseskaf;shepseskaf;chepseskaf;;;;;
123;Userkaf;userkaf;oeserkaf;ouserkaf;;;;
124;Sahure;sahura;sahure;sahoere;sahoera;sahoure;sahoura;
125;Shepseskare;shepseskare;shepseskara;shapseskara;shapseskare;chepseskara;chepseskare;
126;Nyuserre;;;;;;;
127;Menkauhor;menkauhor;menkaouhor;;;;;
128;Asosi;;;;;;;
129;Unas;unas;ounas;oenas;;;;
130;Userkare;userkare;userkara;ouserkare;ouserkara;oeserkare;oeserkara;
131;Khendu;;;;;;;
132;Anu;;;;;;;
133;Neferkaure;;;;;;;
134;Neferkauhor;;;;;;;
135;Sekhemkare;;;;;;;
136;Isu;;;;;;;
137;Iytjenu;;;;;;;
138;Khety I;;;;;;;
139;Khety II;;;;;;;
140;Khety III;;;;;;;
141;Setut;;;;;;;
142;Middle kingdom;;;;;;;
143;Mentuhotep I;;;;;;;
144;Intef I;;;;;;;
145;Intef II;;;;;;;
146;Intef III;;;;;;;
147;Mentuhotep II;;;;;;;
148;Mentuhotep III;;;;;;;
149;Mentuhotep IV;;;;;;;
150;Intef;intef;antef;inyotef;;;;
151;Iybkhenetre;;;;;;;
152;Neferusobek;;;;;;;
153;Ugaf;;;;;;;
154;Sekhemre Khutawy;;;;;;;
155;Iufny;;;;;;;
156;Khendjer;;;;;;;
157;Imiramesha;;;;;;;
158;Intef IV;;;;;;;
159;Sewadjtu;;;;;;;
160;Dedumose I;;;;;;;
