word_id;preferred_NL;variant1;variant2;variant3;variant4;variant5;variant6;variant7
1;Anatolië;anatolia;anatolie;anatolien;;;;
2;Assyrië;assyria;assyrie;assyrien;;;;
3;Babilonië;babylonia;babylonie;babylonien;;;;
4;Biblos;;;;;;;
5;Krokodilopolis;;;;;;;
6;Grieks-Romeins;graeco-roman;greco-roman;;;;;
7;Herodotus;herodotos;;;;;;
8;Horapollo;horapollon;;;;;;
9;Isis-afrodite;;;;;;;
10;Manetho;manethon;manethos;;;;;
11;Maja;;;;;;;
12;Nefertiti;nefertete;nofretete;;;;;
13;Oxyrhynchus;oxyrhynchos;behnasa;el-Bahnasa;bahnasa;;;
14;farao;pharao;;;;;;
15;Plutarchus;plutarchos;;;;;;
16;Poent;;;;;;;
17;Rosetta;Rosette;el rashid;el-rashid;al-rashid;;;
18;Sakkara;saqqarah;saqqareh;sakkarah;;;;
19;Serapeum;serapaeum;serapeion;;;;;
20;Sinoehe;sinouhe;;;;;;
21;Taffeh;taffah;taffa;tafa;taphis;;;
22;Thebe;;;;;;;
23;Teje;tiy;tiye;;;;;
24;Wenamon;wen-amon;wenamoen;;;;;
25;ba-beeld;;;;;;;
26;ka-beeld;;;;;;;
27;Benoe-vogel;benu-vogel;bennu-vogel;benuvogel;;;;
28;djedzuil;djed-zuil;djed-pillar;;;;;
29;atef-kroon;atef-kroon;atef crown;atef-kroon;;;;
30;cherep-scepter;;;;;;;
31;heqa-scepter;;;;;;;
32;nechacha-vlegel;flagellum;;;;;;
33;wadj-scepter;;;;;;;
34;was-scepter;;;;;;;
35;Sesostris I;Senoeseret I;Senwoseret I;;;;;
36;Sesostris II;Senoeseret II;Senwoseret II;;;;;
37;Sesostris III;Senoeseret III;Senwoseret III;;;;;
38;Sesostris IV;Senoeseret IV;Senwoseret IV;;;;;
39;grafkegel;;;;;;;
40;schijndeur;;;;;;;
41;stèle;stela;stele;stelae;steles;;;
42;torus;;;;;;;
43;funderingsdepot;;;;;;;
44;beeldostracon;;;;;;;
45;mummie-etiket;;;;;;;
46;mummienetwerk;;;;;;;
47;mummieomhulsel;;;;;;;
48;canopenkist;;;;;;;
49;canopenkoffer;;;;;;;
50;canopenschrijn;;;;;;;
